ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789066800,29.3,29.8,29.6,22.0,23.0,22.0,30,0
1789068600,29.3,29.3,29.3,22.0,23.0,22.5,30,0
1789070400,28.9,29.3,29.2,22.0,23.0,22.5,30,0
1789072200,28.9,28.9,28.9,22.0,23.0,22.2,30,0
1789074000,28.5,28.9,28.7,22.0,22.0,22.0,30,0
1789075800,28.5,28.5,28.5,22.0,22.0,22.0,30,0
1789077600,28.0,28.5,28.2,22.0,22.0,22.0,30,0
1789079400,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1789081200,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1789083000,27.6,27.9,27.6,23.0,23.0,23.0,30,0
1789084800,27.6,27.6,27.6,23.0,23.0,23.0,30,0
1789086600,27.6,27.6,27.6,23.0,23.0,23.0,30,0
1789088400,27.1,27.6,27.4,23.0,23.0,23.0,30,0
1789090200,27.1,27.1,27.1,23.0,24.0,23.7,30,0
1789092000,27.1,27.1,27.1,24.0,24.0,24.0,30,0
1789093800,27.1,27.1,27.1,24.0,27.0,25.3,30,0
1789095600,27.1,27.1,27.1,27.0,29.0,28.4,30,0
1789097400,27.6,27.6,27.6,28.0,29.0,28.3,3,0
1789099200,27.6,28.9,28.4,23.0,28.0,25.0,30,0
1789101000,28.9,30.2,29.6,21.0,25.0,22.8,30,0
1789102800,30.2,30.2,30.2,21.0,22.0,21.3,30,0
1789104600,30.2,30.2,30.2,21.0,22.0,21.8,30,0
1789106400,30.2,30.2,30.2,22.0,22.0,22.0,30,0
1789108200,30.8,31.3,31.0,22.0,24.0,22.5,30,0
1789110000,31.8,32.8,32.1,22.0,24.0,23.1,30,0
1789111800,32.8,33.3,33.0,21.0,22.0,21.7,9,0
1789113600,33.3,33.3,33.3,21.0,22.0,21.0,30,0
1789115400,33.3,33.8,33.7,21.0,21.0,21.0,30,0
1789117200,33.8,34.7,34.2,20.0,21.0,21.0,30,0
1789120800,34.7,35.2,34.8,19.0,20.0,19.8,29,0
1789122600,34.7,35.2,35.2,17.0,20.0,17.6,30,0
1789124400,35.2,35.2,35.2,16.0,17.0,17.0,30,0
1789126200,35.2,35.2,35.2,16.0,17.0,16.9,30,0
1789128000,35.2,36.3,35.9,17.0,18.0,17.1,30,0
1789129800,35.6,36.9,36.3,17.0,19.0,18.2,30,0
1789131600,34.2,35.2,34.6,19.0,21.0,20.1,30,0
1789133400,33.3,34.2,33.7,21.0,21.0,21.0,30,0
1789135200,32.8,33.3,33.0,21.0,24.0,23.1,30,0
1789137000,32.3,32.8,32.3,24.0,24.0,24.0,30,0
1789138800,31.8,32.3,31.9,24.0,25.0,24.2,30,0
1789140600,31.3,31.8,31.6,25.0,26.0,25.3,30,0
1789142400,31.3,31.3,31.3,25.0,26.0,25.7,30,0
1789144200,30.8,31.3,30.8,26.0,26.0,26.0,30,0
1789146000,30.2,30.8,30.3,26.0,27.0,26.1,30,0
1789147800,29.8,30.2,30.1,27.0,28.0,27.3,30,0
1789149600,29.3,29.8,29.7,28.0,28.0,28.0,30,0
1789151400,29.3,29.3,29.3,28.0,29.0,28.7,30,0
